Season,Bare_ground,Built_area,Crops,Flooded_vegetation,Rangeland,Sea_water,Trees,Water,Total,,,,,
Jose 2018,0,14.444,49.509,1.499,4.703,0.594,0.129,29.121,99.999,Europe,0.594,Non-Urban,14.444,85.556
Jose 2019,0.041,8.255,45.811,2.248,2.084,0.041,0.163,41.357,100,Europe,0.041,Non-Urban,8.255,91.745
Kingpin 2018,20.331,48.033,6.377,0.041,9.068,3.437,0,12.712,99.999,Africa,3.437,NA,48.033,51.967
Luke 2018,1.565,17.22,16.656,13.4,2.63,0.814,0,47.714,99.999,Europe,0.814,NA,17.22,82.78
Ollie 2018,7.071,76.98,2.335,0,4.737,2.135,0,6.738,99.996,Africa,2.135,Non-Urban,76.98,23.02
Ollie 2019,3.724,83.799,1.117,0,0.745,2.793,0,7.821,99.999,Africa,2.793,Non-Urban,83.799,16.201
Roger 2017,2.039,58.39,1.098,5.228,1.516,6.952,0.105,24.673,100.001,Europe,6.952,NA,58.39,41.61
Roland 2017,1.744,20.64,0,37.5,0,34.012,0.872,5.233,100.001,Europe,34.012,Non-Urban,20.64,79.36
Rufus 2019,2.185,4.182,42.572,2.434,1.186,34.644,0.187,12.609,99.999,Africa,34.644,Non-Urban,4.182,95.818
Stephen 2017,0,0,64.587,7.89,8.349,0,0.183,18.991,100,Europe,0,Non-Urban,0,100
Stuart 2017,12.157,31.569,9.281,0,6.667,2.549,0,37.778,100.001,Africa,2.549,Non-Urban,31.569,68.431
Stuart 2018,10.417,34.167,20.625,0.625,3.542,5.833,0.208,24.583,100,Africa,5.833,Non-Urban,34.167,65.833
,,,,,,,,,,,,,,
Average,5.591590909,21.72618182,34.75713636,3.647272727,4.910318182,10.47222727,0.169636364,18.72504545,99.99940909,,Africa Marine,,,
Range High,36.989,83.799,98.753,7.89,29.749,69.811,0.872,47.714,,,10.0855,,,
Range Low,0,0,0,0,0,0,0,0.998,,,,,Av urban use by urban birds,
SE,,,,,,,,,,,Europe Marine,,6.733666667,
,,,,,,,,,,,11.35769,,,
,,,,,,,,,,,,,,
Europe birds,,,,,,,,,,,,,,
ID,Bare_ground,Built_area,Crops,Flooded_vegetation,Rangeland,Sea_water,Trees,Water,Total,Continent,,,,
Archie 2017,5.152,2.138,0.503,4.025,13.836,69.811,0.378,4.151,99.994,Europe,,,,
Eric 2018,0,1.411,88.715,2.9,0.705,1.567,0,4.702,100,Europe,,,,
Eric 2019,0,0,98.753,0,0,0.249,0,0.998,100,Europe,,,,
Eric 2020,0,0,88.213,1.521,0,1.901,0,8.365,100,Europe,,,,
Gary 2017,0.448,6.938,54.969,0,2.551,1.835,0.492,32.766,99.999,Europe,,,,
Gary 2018,0.214,10.897,58.761,0.499,2.066,1.14,0.285,26.139,100.001,Europe,,,,
Gully 2017,0,0.311,61.1,0,0.207,28.734,0.519,9.129,100,Europe,,,,
Jose 2018,0,14.444,49.509,1.499,4.703,0.594,0.129,29.121,99.999,Europe,,,,
Jose 2019,0.041,8.255,45.811,2.248,2.084,0.041,0.163,41.357,100,Europe,,,,
Luke 2018,1.565,17.22,16.656,13.4,2.63,0.814,0,47.714,99.999,Europe,,,,
Roger 2017,2.039,58.39,1.098,5.228,1.516,6.952,0.105,24.673,100.001,Europe,,,,
Roland 2017,1.744,20.64,0,37.5,0,34.012,0.872,5.233,100.001,Europe,,,,
Stephen 2017,0,0,64.587,7.89,8.349,0,0.183,18.991,100,Europe,,,,
,,,,,,,,,,,,,,
Average,0.861769231,10.81876923,48.35961538,5.900769231,2.972846154,11.35769231,0.240461538,19.48761538,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Africa birds,,,,,,,,,,,,,,
ID,Bare_ground,Built_area,Crops,Flooded_vegetation,Rangeland,Sea_water,Trees,Water,Total,Continent,,,,
Clyde 2017,36.989,2.366,0,0.43,7.742,19.57,0,32.903,100,Africa,,,,
Flyback 2017,16.259,11.172,19.253,0,29.749,9.723,0.064,13.78,100,Africa,,,,
Kingpin 2018,20.331,48.033,6.377,0.041,9.068,3.437,0,12.712,99.999,Africa,,,,
Ollie 2018,7.071,76.98,2.335,0,4.737,2.135,0,6.738,99.996,Africa,,,,
Ollie 2019,3.724,83.799,1.117,0,0.745,2.793,0,7.821,99.999,Africa,,,,
Rufus 2019,2.185,4.182,42.572,2.434,1.186,34.644,0.187,12.609,99.999,Africa,,,,
Stuart 2017,12.157,31.569,9.281,0,6.667,2.549,0,37.778,100.001,Africa,,,,
Stuart 2018,10.417,34.167,20.625,0.625,3.542,5.833,0.208,24.583,100,Africa,,,,
,,,,,,,,,,,,,,
Average,13.641625,36.5335,12.695,0.44125,7.9295,10.0855,0.057375,18.6155,,,,,,
